opportunity_name,total_applicants,rejected_count,rejection_rate
Business Consulting,483,400,0.8281573498964804
Project Management Associate,478,370,0.7740585774058577
Data Visualization Associate,551,424,0.7695099818511797
Digital Strategy Virtual Internship,331,254,0.7673716012084593
Digital Marketing,559,366,0.6547406082289803
Project Management,836,544,0.6507177033492823
Data Visualization,980,620,0.6326530612244898
Innovation & Entrepreneurship,419,261,0.6229116945107399
Health Care Management,784,330,0.42091836734693877
